# Battlezone PSP golden tank traces from HoverTank::drive 0x954a0 run under emulation.
# state fields: right3 up3 at3 pos3 vel3 omega3 probeT4 probeIndex airborne tooSteep steerHold steerDir maxFwdSpeed nitroMeter nitroMult nitroDuration nitroEngaged nitroForced nitroOverspeedTimer lastFwdSpeed slowed slowFactor dead
# line: scenario tick dt steer throttle strafe boost ground | pre... | post...
accel_large_reverse 2 68 0.03333333333333333 0 -1 0 0 0:0 | 1 -8.77017956e-05 -6.39313221e-05 8.98578946e-05 0.999403179 0.0345439352 6.08635964e-05 -0.0345439427 0.999403179 -0.00431259442 7.19412279 -80.7898483 -0.00258980389 -0.0591525435 -41.2634087 -0.00369949639 -1.43035777e-05 -0.000137123454 0.712813854 0.712550759 0.7266168 0.72655952 0 0 0 0 0 55 1 1 1 0 0 0 -41.2712212 0 1 0 | 1 -8.77017956e-05 -6.39313221e-05 8.98578946e-05 0.999403179 0.0345439352 6.08635964e-05 -0.0345439427 0.999403179 -0.00431259442 7.19412279 -80.7898483 -0.00259818253 1.06062853 -41.2623711 -0.00261779875 -1.53825058e-05 -4.4206914e-05 0.712485909 0.712550759 0.7266168 0.72655952 1 0 0 0 0 55 1 1 1 0 0 0 -41.2743835 0 1 0
accel_large_reverse 2 69 0.03333333333333333 0 -1 0 0 0:0 | 1 -8.91809177e-05 -6.3410851e-05 9.13128897e-05 0.999406159 0.0344567299 6.03003136e-05 -0.0344567336 0.999406159 -0.00439920044 7.19614363 -82.1652603 -0.00259818253 0.0606285334 -41.2623711 -0.00261779875 -1.53825058e-05 -4.4206914e-05 0.712485909 0.712550759 0.7266168 0.72655952 1 0 0 0 0 55 1 1 1 0 0 0 -41.2743835 0 1 0 | 1 -8.91809177e-05 -6.3410851e-05 9.13128897e-05 0.999406159 0.0344567299 6.03003136e-05 -0.0344567336 0.999406159 -0.00439920044 7.19614363 -82.1652603 -0.0026029963 1.16507924 -41.261158 -0.00147949159 -1.6200398e-05 0.000409778557 0.712485909 0.712740839 0.7266168 0.72655952 2 0 0 0 0 55 1 1 1 0 0 0 -41.2768021 0 1 0
accel_large_reverse 2 70 0.03333333333333333 0 -1 0 0 0:0 | 1 -7.55247456e-05 -6.28667767e-05 7.76431116e-05 0.999407887 0.0344074406 6.0230941e-05 -0.034407448 0.999407887 -0.0044859671 7.20164633 -83.5406342 -0.0026029963 0.165079236 -41.261158 -0.00147949159 -1.6200398e-05 0.000409778557 0.712485909 0.712740839 0.7266168 0.72655952 2 0 0 0 0 55 1 1 1 0 0 0 -41.2768021 0 1 0 | 1 -7.55247456e-05 -6.28667767e-05 7.76431116e-05 0.999407887 0.0344074406 6.0230941e-05 -0.034407448 0.999407887 -0.0044859671 7.20164633 -83.5406342 -0.00260556093 1.09759378 -41.2609138 -0.00151689351 -1.58352486e-05 -0.000102978498 0.712485909 0.712740839 0.727031052 0.72655952 3 0 0 0 0 55 1 1 1 0 0 0 -41.27425 0 1 0
accel_large_reverse 2 71 0.03333333333333333 0 -1 0 0 0:0 | 1 -7.89605256e-05 -6.23350279e-05 8.10555503e-05 0.999409616 0.0343569107 5.9585389e-05 -0.0343569145 0.999409616 -0.00457281899 7.20489931 -84.9160004 -0.00260556093 0.0975937843 -41.2609138 -0.00151689351 -1.58352486e-05 -0.000102978498 0.712485909 0.712740839 0.727031052 0.72655952 3 0 0 0 0 55 1 1 1 0 0 0 -41.27425 0 1 0 | 1 -7.89605256e-05 -6.23350279e-05 8.10555503e-05 0.999409616 0.0343569107 5.9585389e-05 -0.0343569145 0.999409616 -0.00457281899 7.20489931 -84.9160004 -0.00260558561 1.03288364 -41.2609596 -0.00312654674 -1.58208677e-05 0.00115700858 0.712485909 0.712740839 0.727031052 0.727377117 0 0 0 0 0 55 1 1 1 0 0 0 -41.2720871 0 1 0
accel_large_reverse 2 72 0.03333333333333333 0 -1 0 0 0:0 | 1 -4.04000457e-05 -6.18014456e-05 4.24932077e-05 0.999413192 0.0342527516 6.03813714e-05 -0.0342527553 0.999413192 -0.0046596718 7.20599556 -86.2913666 -0.00260558561 0.0328836441 -41.2609596 -0.00312654674 -1.58208677e-05 0.00115700858 0.712485909 0.712740839 0.727031052 0.727377117 0 0 0 0 0 55 1 1 1 0 0 0 -41.2720871 0 1 0 | 1 -4.04000457e-05 -6.18014456e-05 4.24932077e-05 0.999413192 0.0342527516 6.03813714e-05 -0.0342527553 0.999413192 -0.0046596718 7.20599556 -86.2913666 -0.00260040443 1.12775731 -41.2601738 -0.00158859789 -1.32405812e-05 -0.000596292783 0.713740945 0.712740839 0.727031052 0.727377117 1 0 0 0 0 55 1 1 1 0 0 0 -41.2745895 0 1 0
accel_large_reverse 2 73 0.03333333333333333 0 -1 0 0 0:0 | 1 -6.02797336e-05 -6.13574302e-05 6.23428859e-05 0.99941504 0.0341998301 5.92599827e-05 -0.0341998339 0.99941504 -0.00474635186 7.21025419 -87.6667023 -0.00260040443 0.127757311 -41.2601738 -0.00158859789 -1.32405812e-05 -0.000596292783 0.713740945 0.712740839 0.727031052 0.727377117 1 0 0 0 0 55 1 1 1 0 0 0 -41.2745895 0 1 0 | 1 -6.02797336e-05 -6.13574302e-05 6.23428859e-05 0.99941504 0.0341998301 5.92599827e-05 -0.0341998339 0.99941504 -0.00474635186 7.21025419 -87.6667023 -0.00259430055 1.20762956 -41.2592659 0.00244350731 -1.28457032e-05 0.001233335 0.713740945 0.714197516 0.727031052 0.727377117 2 0 0 0 0 55 1 1 1 0 0 0 -41.276432 0 1 0
accel_large_reverse 2 74 0.03333333333333333 0 -1 0 0 0:0 | 1 -1.91635863e-05 -6.09324779e-05 2.12411633e-05 0.999412239 0.0342812315 6.02397085e-05 -0.0342812315 0.999412239 -0.00483282842 7.21717501 -89.0420074 -0.00259430055 0.207629561 -41.2592659 0.00244350731 -1.28457032e-05 0.001233335 0.713740945 0.714197516 0.727031052 0.727377117 2 0 0 0 0 55 1 1 1 0 0 0 -41.276432 0 1 0 | 1 -1.91635863e-05 -6.09324779e-05 2.12411633e-05 0.999412239 0.0342812315 6.02397085e-05 -0.0342812315 0.999412239 -0.00483282842 7.21717501 -89.0420074 -0.00258589722 1.11850286 -41.2593536 0.00210559368 -9.84137387e-06 -0.000562353875 0.713740945 0.714197516 0.728569925 0.727377117 3 0 0 0 0 55 1 1 1 0 0 0 -41.2734451 0 1 0
accel_large_reverse 2 75 0.03333333333333333 0 -1 0 0 0:0 | 1 -3.79044504e-05 -6.06064314e-05 3.99639939e-05 0.999409795 0.034351375 5.92685901e-05 -0.0343513787 0.999409795 -0.00491902512 7.22112513 -90.4173203 -0.00258589722 0.118502855 -41.2593536 0.00210559368 -9.84137387e-06 -0.000562353875 0.713740945 0.714197516 0.728569925 0.727377117 3 0 0 0 0 55 1 1 1 0 0 0 -41.2734451 0 1 0 | 1 -3.79044504e-05 -6.06064314e-05 3.99639939e-05 0.999409795 0.034351375 5.92685901e-05 -0.0343513787 0.999409795 -0.00491902512 7.22112513 -90.4173203 -0.00257792301 1.03402269 -41.2597542 -0.00128269196 -9.08787933e-06 0.00139055576 0.713740945 0.714197516 0.728569925 0.728990376 0 0 0 0 0 55 1 1 1 0 0 0 -41.2709236 0 1 0
accel_large_reverse 2 76 0.03333333333333333 0 -1 0 0 0:0 | 1 8.44482292e-06 -6.03028711e-05 -6.37094126e-06 0.999411285 0.0343086459 6.05571004e-05 -0.0343086459 0.999411285 -0.00500495592 7.22225904 -91.7926483 -0.00257792301 0.0340226889 -41.2597542 -0.00128269196 -9.08787933e-06 0.00139055576 0.713740945 0.714197516 0.728569925 0.728990376 0 0 0 0 0 55 1 1 1 0 0 0 -41.2709236 0 1 0 | 1 8.44482292e-06 -6.03028711e-05 -6.37094126e-06 0.999411285 0.0343086459 6.05571004e-05 -0.0343086459 0.999411285 -0.00500495592 7.22225904 -91.7926483 -0.00256711664 1.11033869 -41.2593269 -0.000205226243 -5.49559763e-06 -0.00064726267 0.715365887 0.714197516 0.728569925 0.728990376 1 0 0 0 0 55 1 1 1 0 0 0 -41.2731323 0 1 0
accel_large_reverse 2 77 0.03333333333333333 0 -1 0 0 0:0 | 1 -1.31310117e-05 -6.01196698e-05 1.51854974e-05 0.999411523 0.03430181 5.96338723e-05 -0.03430181 0.999411523 -0.00509052631 7.22593689 -93.1679611 -0.00256711664 0.110338688 -41.2593269 -0.000205226243 -5.49559763e-06 -0.00064726267 0.715365887 0.714197516 0.728569925 0.728990376 1 0 0 0 0 55 1 1 1 0 0 0 -41.2731323 0 1 0 | 1 -1.31310117e-05 -6.01196698e-05 1.51854974e-05 0.999411523 0.03430181 5.96338723e-05 -0.03430181 0.999411523 -0.00509052631 7.22593689 -93.1679611 -0.00255743298 1.17472124 -41.2587662 0.00365781784 -4.53913253e-06 0.00114467985 0.715365887 0.715735972 0.728569925 0.728990376 2 0 0 0 0 55 1 1 1 0 0 0 -41.2747803 0 1 0
accel_large_reverse 2 78 0.03333333333333333 0 -1 0 0 0:0 | 1 2.50323046e-05 -5.99676387e-05 -2.29531634e-05 0.999407351 0.0344236642 6.07938018e-05 -0.0344236642 0.999407351 -0.00517577399 7.23176098 -94.543251 -0.00255743298 0.174721241 -41.2587662 0.00365781784 -4.53913253e-06 0.00114467985 0.715365887 0.715735972 0.728569925 0.728990376 2 0 0 0 0 55 1 1 1 0 0 0 -41.2747803 0 1 0 | 1 2.50323046e-05 -5.99676387e-05 -2.29531634e-05 0.999407351 0.0344236642 6.07938018e-05 -0.0344236642 0.999407351 -0.00517577399 7.23176098 -94.543251 -0.00254645152 1.07317579 -41.259182 0.00329510868 -1.35726793e-06 -0.000575145881 0.715365887 0.715735972 0.730065823 0.728990376 3 0 0 0 0 55 1 1 1 0 0 0 -41.2716713 0 1 0
accel_large_reverse 2 79 0.03333333333333333 0 -1 0 0 0:0 | 1 5.86735905e-06 -5.99206978e-05 -3.79459198e-06 0.999403536 0.0345334373 6.00875792e-05 -0.0345334373 0.999403536 -0.00526065566 7.2342 -95.9185562 -0.00254645152 0.0731757879 -41.259182 0.00329510868 -1.35726793e-06 -0.000575145881 0.715365887 0.715735972 0.730065823 0.728990376 3 0 0 0 0 55 1 1 1 0 0 0 -41.2716713 0 1 0 | 1 5.86735905e-06 -5.99206978e-05 -3.79459198e-06 0.999403536 0.0345334373 6.00875792e-05 -0.0345334373 0.999403536 -0.00526065566 7.2342 -95.9185562 -0.00253752712 0.979452968 -41.2598724 0.00043424964 -5.13687951e-07 0.000872216304 0.715365887 0.715735972 0.730065823 0.73032552 0 0 0 0 0 55 1 1 1 0 0 0 -41.2690849 0 1 0
accel_large_reverse 2 80 0.03333333333333333 0 -1 0 0 0:0 | 1 3.49421025e-05 -5.99032828e-05 -3.28517126e-05 0.999403059 0.0345479026 6.10747011e-05 -0.0345479026 0.999403059 -0.00534523977 7.23351526 -97.2938843 -0.00253752712 -0.0205470324 -41.2598724 0.00043424964 -5.13687951e-07 0.000872216304 0.715365887 0.715735972 0.730065823 0.73032552 0 0 0 0 0 55 1 1 1 0 0 0 -41.2690849 0 1 0 | 1 3.49421025e-05 -5.99032828e-05 -3.28517126e-05 0.999403059 0.0345479026 6.10747011e-05 -0.0345479026 0.999403059 -0.00534523977 7.23351526 -97.2938843 -0.00252854102 1.04982936 -41.259697 0.000727444887 1.98701491e-06 -0.000377754273 0.716448903 0.715735972 0.730065823 0.73032552 1 0 0 0 0 55 1 1 1 0 0 0 -41.2713356 0 1 0
accel_large_reverse 2 81 0.03333333333333333 0 -1 0 0 0:0 | 1 2.23517472e-05 -5.9968821e-05 -2.02651354e-05 0.999402225 0.0345721394 6.07057227e-05 -0.0345721357 0.999402225 -0.00542952446 7.23517609 -98.6692047 -0.00252854102 0.0498293638 -41.259697 0.000727444887 1.98701491e-06 -0.000377754273 0.716448903 0.715735972 0.730065823 0.73032552 1 0 0 0 0 55 1 1 1 0 0 0 -41.2713356 0 1 0 | 1 2.23517472e-05 -5.9968821e-05 -2.02651354e-05 0.999402225 0.0345721394 6.07057227e-05 -0.0345721357 0.999402225 -0.00542952446 7.23517609 -98.6692047 -0.00252139266 1.11152434 -41.2593384 0.0026704371 2.81479311e-06 0.000548229145 0.716448903 0.71659869 0.730065823 0.73032552 2 0 0 0 0 55 1 1 1 0 0 0 -41.2731018 0 1 0
accel_large_reverse 2 82 0.03333333333333333 0 -1 0 0 0:0 | 1 4.06313957e-05 -6.00598469e-05 -3.85252388e-05 0.999399126 0.0346610956 6.14320888e-05 -0.0346610956 0.999399126 -0.00551357074 7.23889351 -100.044518 -0.00252139266 0.111524343 -41.2593384 0.0026704371 2.81479311e-06 0.000548229145 0.716448903 0.71659869 0.730065823 0.73032552 2 0 0 0 0 55 1 1 1 0 0 0 -41.2731018 0 1 0 | 1 4.06313957e-05 -6.00598469e-05 -3.85252388e-05 0.999399126 0.0346610956 6.14320888e-05 -0.0346610956 0.999399126 -0.00551357074 7.23889351 -100.044518 -0.0025142259 1.00899422 -41.259922 0.00246377289 4.58528848e-06 -0.000316172605 0.716448903 0.71659869 0.730829716 0.73032552 3 0 0 0 0 55 1 1 1 0 0 0 -41.2701035 0 1 0
accel_large_reverse 2 83 0.03333333333333333 0 -1 0 0 0:0 | 1 3.00972442e-05 -6.02097862e-05 -2.79871947e-05 0.999396265 0.0347431749 6.12191143e-05 -0.0347431712 0.999396265 -0.00559737813 7.23919344 -101.419846 -0.0025142259 0.00899422169 -41.259922 0.00246377289 4.58528848e-06 -0.000316172605 0.716448903 0.71659869 0.730829716 0.73032552 3 0 0 0 0 55 1 1 1 0 0 0 -41.2701035 0 1 0 | 1 3.00972442e-05 -6.02097862e-05 -2.79871947e-05 0.999396265 0.0347431749 6.12191143e-05 -0.0347431712 0.999396265 -0.00559737813 7.23919344 -101.419846 -0.00250914949 0.916742504 -41.2607384 0.00126597285 5.06334163e-06 0.000146976774 0.716448903 0.71659869 0.730829716 0.730861962 0 0 0 0 0 55 1 1 1 0 0 0 -41.2676773 0 1 0
accel_large_reverse 2 84 0.03333333333333333 0 -1 0 0 0:0 | 1 3.4999015e-05 -6.0377195e-05 -3.28775932e-05 0.999394834 0.0347853452 6.15581084e-05 -0.0347853452 0.999394834 -0.00568101648 7.23641825 -102.795204 -0.00250914949 -0.0832574964 -41.2607384 0.00126597285 5.06334163e-06 0.000146976774 0.716448903 0.71659869 0.730829716 0.730861962 0 0 0 0 0 55 1 1 1 0 0 0 -41.2676773 0 1 0 | 1 3.4999015e-05 -6.0377195e-05 -3.28775932e-05 0.999394834 0.0347853452 6.15581084e-05 -0.0347853452 0.999394834 -0.00568101648 7.23641825 -102.795204 -0.00250575086 0.991602838 -41.2606354 0.00094807893 5.70882867e-06 -3.91840476e-05 0.716691732 0.71659869 0.730829716 0.730861962 1 0 0 0 0 55 1 1 1 0 0 0 -41.2701607 0 1 0
accel_large_reverse 2 85 0.03333333333333333 0 -1 0 0 0:0 | 1 3.36947924e-05 -6.05664027e-05 -3.15656252e-05 0.999393702 0.0348169282 6.17028272e-05 -0.0348169282 0.999393702 -0.00576454168 7.23613834 -104.170555 -0.00250575086 -0.00839716196 -41.2606354 0.00094807893 5.70882867e-06 -3.91840476e-05 0.716691732 0.71659869 0.730829716 0.730861962 1 0 0 0 0 55 1 1 1 0 0 0 -41.2701607 0 1 0 | 1 3.36947924e-05 -6.05664027e-05 -3.15656252e-05 0.999393702 0.0348169282 6.17028272e-05 -0.0348169282 0.999393702 -0.00576454168 7.23613834 -104.170555 -0.00250374083 1.05961919 -41.2603073 0.00081820786 6.05220521e-06 -7.14697962e-05 0.716691732 0.716643691 0.730829716 0.730861962 2 0 0 0 0 55 1 1 1 0 0 0 -41.2721825 0 1 0
accel_large_reverse 2 86 0.03333333333333333 0 -1 0 0 0:0 | 1 3.13141172e-05 -6.07672519e-05 -2.91777178e-05 0.999392748 0.0348441862 6.1821469e-05 -0.0348441862 0.999392748 -0.00584799983 7.2381258 -105.545898 -0.00250374083 0.0596191883 -41.2603073 0.00081820786 6.05220521e-06 -7.14697962e-05 0.716691732 0.716643691 0.730829716 0.730861962 2 0 0 0 0 55 1 1 1 0 0 0 -41.2721825 0 1 0 | 1 3.13141172e-05 -6.07672519e-05 -2.91777178e-05 0.999392748 0.0348441862 6.1821469e-05 -0.0348441862 0.999392748 -0.00584799983 7.2381258 -105.545898 -0.0025025357 0.963494718 -41.2608871 0.000804692507 6.12241092e-06 -1.1025676e-05 0.716691732 0.716643691 0.730787635 0.730861962 3 0 0 0 0 55 1 1 1 0 0 0 -41.2694054 0 1 0
accel_large_reverse 2 87 0.03333333333333333 0 -1 0 0 0:0 | 1 3.09482275e-05 -6.09704985e-05 -2.88033043e-05 0.999391794 0.0348709933 6.20126157e-05 -0.0348709933 0.999391794 -0.00593141746 7.23690891 -106.921265 -0.0025025357 -0.0365052819 -41.2608871 0.000804692507 6.12241092e-06 -1.1025676e-05 0.716691732 0.716643691 0.730787635 0.730861962 3 0 0 0 0 55 1 1 1 0 0 0 -41.2694054 0 1 0 | 1 3.09482275e-05 -6.09704985e-05 -2.88033043e-05 0.999391794 0.0348709933 6.20126157e-05 -0.0348709933 0.999391794 -0.00593141746 7.23690891 -106.921265 -0.0025024449 0.878525972 -41.2616615 0.00117947906 6.14482269e-06 -0.000362721737 0.716691732 0.716643691 0.730787635 0.730658889 0 0 0 0 0 55 1 1 1 0 0 0 -41.2672005 0 1 0
accel_large_reverse 2 88 0.03333333333333333 0 -1 0 0 0:0 | 1 1.8859906e-05 -6.11743526e-05 -1.67127946e-05 0.999390423 0.0349102877 6.17954647e-05 -0.0349102877 0.999390423 -0.0060148323 7.23285961 -108.296654 -0.0025024449 -0.121474028 -41.2616615 0.00117947906 6.14482269e-06 -0.000362721737 0.716691732 0.716643691 0.730787635 0.730658889 0 0 0 0 0 55 1 1 1 0 0 0 -41.2672005 0 1 0 | 1 1.8859906e-05 -6.11743526e-05 -1.67127946e-05 0.999390423 0.0349102877 6.17954647e-05 -0.0349102877 0.999390423 -0.0060148323 7.23285961 -108.296654 -0.00250427425 0.962108791 -41.2614861 0.000637665391 5.35387517e-06 0.000187074198 0.7163077 0.716643691 0.730787635 0.730658889 1 0 0 0 0 55 1 1 1 0 0 0 -41.2699203 0 1 0
accel_large_reverse 2 89 0.03333333333333333 0 -1 0 0 0:0 | 1 2.50970133e-05 -6.13523443e-05 -2.2938566e-05 0.999389708 0.034931533 6.21915824e-05 -0.0349315293 0.999389708 -0.00609830813 7.23159647 -109.672035 -0.00250427425 -0.0378912091 -41.2614861 0.000637665391 5.35387517e-06 0.000187074198 0.7163077 0.716643691 0.730787635 0.730658889 1 0 0 0 0 55 1 1 1 0 0 0 -41.2699203 0 1 0 | 1 2.50970133e-05 -6.13523443e-05 -2.2938566e-05 0.999389708 0.034931533 6.21915824e-05 -0.0349315293 0.999389708 -0.00609830813 7.23159647 -109.672035 -0.00250654202 1.03897595 -41.2610588 -0.000696092844 5.2423843e-06 -0.000414891518 0.7163077 0.716168284 0.730787635 0.730658889 2 0 0 0 0 55 1 1 1 0 0 0 -41.272171 0 1 0
accel_large_reverse 2 90 0.03333333333333333 0 -1 0 0 0:0 | 1 1.12658709e-05 -6.1527513e-05 -9.1111815e-06 0.999390543 0.0349083431 6.18832855e-05 -0.0349083394 0.999390543 -0.00618185941 7.23289585 -111.047401 -0.00250654202 0.0389759541 -41.2610588 -0.000696092844 5.2423843e-06 -0.000414891518 0.7163077 0.716168284 0.730787635 0.730658889 2 0 0 0 0 55 1 1 1 0 0 0 -41.272171 0 1 0 | 1 1.12658709e-05 -6.1527513e-05 -9.1111815e-06 0.999390543 0.0349083431 6.18832855e-05 -0.0349083394 0.999390543 -0.00618185941 7.23289585 -111.047401 -0.0025097332 0.950759113 -41.261528 -0.000585459173 4.24598056e-06 0.000181222698 0.7163077 0.716168284 0.730273485 0.730658889 3 0 0 0 0 55 1 1 1 0 0 0 -41.2695694 0 1 0
accel_large_reverse 2 91 0.03333333333333333 0 -1 0 0 0:0 | 1 1.7305425e-05 -6.16693214e-05 -1.51433187e-05 0.999391198 0.0348888375 6.22355437e-05 -0.0348888338 0.999391198 -0.00626551732 7.23125458 -112.422783 -0.0025097332 -0.0492408872 -41.261528 -0.000585459173 4.24598056e-06 0.000181222698 0.7163077 0.716168284 0.730273485 0.730658889 3 0 0 0 0 55 1 1 1 0 0 0 -41.2695694 0 1 0 | 1 1.7305425e-05 -6.16693214e-05 -1.51433187e-05 0.999391198 0.0348888375 6.22355437e-05 -0.0348888338 0.999391198 -0.00626551732 7.23125458 -112.422783 -0.0025129118 0.873206794 -41.2621803 0.000574097037 3.98434895e-06 -0.000504061929 0.7163077 0.716168284 0.730273485 0.730099797 0 0 0 0 0 55 1 1 1 0 0 0 -41.2675247 0 1 0
accel_large_reverse 2 92 0.03333333333333333 0 -1 0 0 0:0 | 1 5.04542356e-07 -6.18019621e-05 1.65314555e-06 0.999390543 0.0349079594 6.17819096e-05 -0.0349079594 0.999390543 -0.00634928094 7.22702837 -113.798187 -0.0025129118 -0.126793206 -41.2621803 0.000574097037 3.98434895e-06 -0.000504061929 0.7163077 0.716168284 0.730273485 0.730099797 0 0 0 0 0 55 1 1 1 0 0 0 -41.2675247 0 1 0 | 1 5.04542356e-07 -6.18019621e-05 1.65314555e-06 0.999390543 0.0349079594 6.17819096e-05 -0.0349079594 0.999390543 -0.00634928094 7.22702837 -113.798187 -0.00251721148 0.96401608 -41.2618752 0.000148415565 2.68986855e-06 0.000238048 0.715721369 0.716168284 0.730273485 0.730099797 1 0 0 0 0 55 1 1 1 0 0 0 -41.2703781 0 1 0
accel_large_reverse 2 93 0.03333333333333333 0 -1 0 0 0:0 | 1 8.4397816e-06 -6.18916019e-05 -6.27382087e-06 0.999390364 0.0349129029 6.21485306e-05 -0.0349129029 0.999390364 -0.00643318798 7.22582912 -115.173584 -0.00251721148 -0.0359839201 -41.2618752 0.000148415565 2.68986855e-06 0.000238048 0.715721369 0.716168284 0.730273485 0.730099797 1 0 0 0 0 55 1 1 1 0 0 0 -41.2703781 0 1 0 | 1 8.4397816e-06 -6.18916019e-05 -6.27382087e-06 0.999390364 0.0349129029 6.21485306e-05 -0.0349129029 0.999390364 -0.00643318798 7.22582912 -115.173584 -0.00252115144 1.0471307 -41.261322 -0.00129668415 2.35589778e-06 -0.000429920008 0.715721369 0.715598643 0.730273485 0.730099797 2 0 0 0 0 55 1 1 1 0 0 0 -41.272728 0 1 0
accel_large_reverse 2 94 0.03333333333333333 0 -1 0 0 0:0 | 1 -5.89356205e-06 -6.19701896e-05 8.05086074e-06 0.999391854 0.0348697081 6.1726998e-05 -0.0348697081 0.999391854 -0.00651722634 7.2274003 -116.548958 -0.00252115144 0.0471307039 -41.261322 -0.00129668415 2.35589778e-06 -0.000429920008 0.715721369 0.715598643 0.730273485 0.730099797 2 0 0 0 0 55 1 1 1 0 0 0 -41.272728 0 1 0 | 1 -5.89356205e-06 -6.19701896e-05 8.05086074e-06 0.999391854 0.0348697081 6.1726998e-05 -0.0348697081 0.999391854 -0.00651722634 7.2274003 -116.548958 -0.00252565579 0.96403259 -41.261673 -0.00116237998 1.17769446e-06 0.000214469212 0.715721369 0.715598643 0.729712784 0.730099797 3 0 0 0 0 55 1 1 1 0 0 0 -41.270195 0 1 0
accel_large_reverse 2 95 0.03333333333333333 0 -1 0 0 0:0 | 1 1.25300949e-06 -6.2009356e-05 9.07597894e-07 0.999393225 0.0348309875 6.20153733e-05 -0.0348309875 0.999393225 -0.00660141464 7.22620153 -117.924347 -0.00252565579 -0.0359674096 -41.261673 -0.00116237998 1.17769446e-06 0.000214469212 0.715721369 0.715598643 0.729712784 0.730099797 3 0 0 0 0 55 1 1 1 0 0 0 -41.270195 0 1 0 | 1 1.25300949e-06 -6.2009356e-05 9.07597894e-07 0.999393225 0.0348309875 6.20153733e-05 -0.0348309875 0.999393225 -0.00660141464 7.22620153 -117.924347 -0.00252946769 0.890500784 -41.2622147 -6.68540597e-05 8.68663562e-07 -0.000353316398 0.715721369 0.715598643 0.729712784 0.729586065 0 0 0 0 0 55 1 1 1 0 0 0 -41.2681961 0 1 0
accel_large_reverse 2 96 0.03333333333333333 0 -1 0 0 0:0 | 1 -1.05243416e-05 -6.20382998e-05 1.26786736e-05 0.999393284 0.0348287597 6.16341131e-05 -0.0348287597 0.999393284 -0.00668573007 7.22255135 -119.299751 -0.00252946769 -0.109499216 -41.2622147 -6.68540597e-05 8.68663562e-07 -0.000353316398 0.715721369 0.715598643 0.729712784 0.729586065 0 0 0 0 0 55 1 1 1 0 0 0 -41.2681961 0 1 0 | 1 -1.05243416e-05 -6.20382998e-05 1.26786736e-05 0.999393284 0.0348287597 6.16341131e-05 -0.0348287597 0.999393284 -0.00668573007 7.22255135 -119.299751 -0.00253335945 0.984225154 -41.2618103 -0.000220760703 -1.22513768e-07 0.000157235685 0.715287268 0.715598643 0.729712784 0.729586065 1 0 0 0 0 55 1 1 1 0 0 0 -41.2710571 0 1 0
accel_large_reverse 2 97 0.03333333333333333 0 -1 0 0 0:0 | 1 -5.28360852e-06 -6.20341598e-05 7.44052113e-06 0.999393523 0.034821406 6.18125559e-05 -0.034821406 0.999393523 -0.00677017542 7.22202539 -120.675148 -0.00253335945 -0.0157748461 -41.2618103 -0.000220760703 -1.22513768e-07 0.000157235685 0.715287268 0.715598643 0.729712784 0.729586065 1 0 0 0 0 55 1 1 1 0 0 0 -41.2710571 0 1 0 | 1 -5.28360852e-06 -6.20341598e-05 7.44052113e-06 0.999393523 0.034821406 6.18125559e-05 -0.034821406 0.999393523 -0.00677017542 7.22202539 -120.675148 -0.00253656553 1.06905651 -41.2611694 -0.00105392188 -4.33916426e-07 -0.000237052751 0.715287268 0.715239346 0.729712784 0.729586065 2 0 0 0 0 55 1 1 1 0 0 0 -41.2733727 0 1 0
accel_large_reverse 2 98 0.03333333333333333 0 -1 0 0 0:0 | 1 -1.31875458e-05 -6.2019375e-05 1.53369892e-05 0.999394774 0.0347862989 6.15230892e-05 -0.0347862989 0.999394774 -0.0068547274 7.22432709 -122.050522 -0.00253656553 0.0690565109 -41.2611694 -0.00105392188 -4.33916426e-07 -0.000237052751 0.715287268 0.715239346 0.729712784 0.729586065 2 0 0 0 0 55 1 1 1 0 0 0 -41.2733727 0 1 0 | 1 -1.31875458e-05 -6.2019375e-05 1.53369892e-05 0.999394774 0.0347862989 6.15230892e-05 -0.0347862989 0.999394774 -0.0068547274 7.22432709 -122.050522 -0.00253987312 0.986963451 -41.2614441 -0.00096821785 -1.1684474e-06 0.00013353955 0.715287268 0.715239346 0.729387343 0.729586065 3 0 0 0 0 55 1 1 1 0 0 0 -41.2708054 0 1 0
accel_large_reverse 2 99 0.03333333333333333 0 -1 0 0 0:0 | 1 -8.73822864e-06 -6.19800703e-05 1.08870081e-05 0.999395907 0.0347540453 6.1638937e-05 -0.0347540453 0.999395907 -0.00693938974 7.22389269 -123.425903 -0.00253987312 -0.0130365491 -41.2614441 -0.00096821785 -1.1684474e-06 0.00013353955 0.715287268 0.715239346 0.729387343 0.729586065 3 0 0 0 0 55 1 1 1 0 0 0 -41.2708054 0 1 0 | 1 -8.73822864e-06 -6.19800703e-05 1.08870081e-05 0.999395907 0.0347540453 6.1638937e-05 -0.0347540453 0.999395907 -0.00693938974 7.22389269 -123.425903 -0.00254240539 0.913478792 -41.2619286 -0.000428028405 -1.36151345e-06 -9.44872809e-05 0.715287268 0.715239346 0.729387343 0.729341865 0 0 0 0 0 55 1 1 1 0 0 0 -41.2687492 0 1 0
